"url","Breed","Family","Original Function","Average Size Male","Average Size Female","Energy","Exercise","Playfulness","Affection","Friendliness to Dogs","Friendliness to Other Pets","Friendliness to Strangers","Ease of Traning","Watchdog Ability","Protection Ability","Grooming","Life Span"
"https://www.petfinder.com/dog-breeds/Cavalier-King-Charles-Spaniel","Adopt a Cavalier King Charles Spaniel","spaniel, companion","flushing small birds, lapdog","Ht: 12-13, Wt: 13-18","Ht: 12-13, Wt: 13-18","••••","••••","•••••","••••••","••","•","••••••","•••••","••••","••","••••",
"https://www.petfinder.com/dog-breeds/Cairn-Terrier","Adopt a Cairn Terrier","terrier","killing vermin","Ht: 10, Wt: 14","Ht: 9.5, Wt: 13","•••••","••••","••••","••••","••••","•","••","••","••••••","••","••••",
"https://www.petfinder.com/dog-breeds/Chihuahua","Adopt a Chihuahua","companion, Southern (pariah)","ceremonial","Ht: 6-9, Wt: <6","Ht: 6-9, Wt: <6","••••••","••","•••","•••","••","•","••","•••","••••••","••","••","Suggested tests: cardiac, knee"
"https://www.petfinder.com/dog-breeds/Chinese-Shar-Pei","Adopt a Chinese Shar-Pei","Livestock Dog, Mountain Dog, Northern (companion)","dog fighting, herding, hunting, guardian","Ht: 18-20, Wt: 45-60","Ht: 18-20, Wt: 45-60","••••","••••","••","••","••","•","••","••","••••••","•••••","•••","Life span: 8-10 year\ns"
"https://www.petfinder.com/dog-breeds/Clumber-Spaniel","Adopt a Clumber Spaniel","gundog, spaniel","bird flushing and retrieving","Ht: 19-20, Wt: 70-85","Ht: 17-19, Wt: 55-70","•••","•••","••••","•••••","••••","•","••••","••••","•••","••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Chesapeake-Bay-Retriever","Adopt a Chesapeake Bay Retriever","gundog, retriever","water retriever","Ht: 23-26, Wt: 65-80","Ht: 21-24, Wt: 55-70","••••","••••","••••","•••••","••••","•","•••","••••","•••••","••••","•••","Life span: 10-13 years"
"https://www.petfinder.com/dog-breeds/Curly-Coated-Retriever","Adopt a Curly-Coated Retriever","gundog, retriever","water retrieving","Ht: 25-27, Wt: 60-70","Ht: 23-25, Wt: 60-70","••••","••••","••••","••••","••••","•","•••","••••","•••••","•••","••","Life span: 8-12 years"
"https://www.petfinder.com/dog-breeds/Chow-Chow","Adopt a Chow Chow","Spitz, Northern (companion)","guardian, cart puller, food source","Ht: 17-20, Wt: 45-70","Ht: 17-20, Wt: 45-70","••","•••","••","•••","••","•","••","••","••••••","•••••","•••",
"https://www.petfinder.com/dog-breeds/Dachshund-(Standard)","Adopt a Dachshund (Standard)","Scenthound,Terrier, Dachshund","flushing badgers","Ht: 8-9, Wt: 11-32","Ht: 8-9, Wt: 11-32","•••••","•••","••••","••••","••••","•","••","•••","••••••","•••","••",
"https://www.petfinder.com/dog-breeds/Collie","Adopt a Collie","livestock, herding","sheep herding","Ht: 24-26, Wt: 60-75","Ht: 22-24, Wt: 50-65","••••","••••","••••","••••","••••","•","••••","••••","••••••","••••","••",
"https://www.petfinder.com/dog-breeds/Dachsund-(Miniature)","Adopt a Dachsund (Miniature)","Scenthound, Terrier, Dachshund","flushing badgers","Ht: 5-6, Wt: 1-11","Ht: 5-6, Wt: 1-11","•••••","•••","••••","••••","••••","•","••","•••","••••••","•••","••","Suggested tests: (eye)"
"https://www.petfinder.com/dog-breeds/Field-Spaniel","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Dalmatian","Adopt a Dalmatian","Scenthound, Pointer","carriage dog","Ht: 19-23, Wt: 40-60","Ht: 19-23, Wt: 40-60","•••••","••••","••••","••••••","••••","•","••••","••••","•••••","••••","•••",
"https://www.petfinder.com/dog-breeds/Dandie-Dinmont-Terrier","Adopt a Dandie Dinmont Terrier","terrier","otter and badger hunting","Ht: 8-11, Wt: 18-24","Ht: 8-11, Wt: 18-24","••••","••••","••••","••••","••••","•","••","•••","•••••","••","••••","Life span: 11-13 years"
"https://www.petfinder.com/dog-breeds/English-Setter","Adopt an English Setter","gundog, setter, pointer","bird setting and retrieving","Ht: 25, Wt: 60-65","Ht: 24, Wt: 50-55","•••••","•••••","••••","•••••","••••","•","••••••","••••","•••••","•••","••••","Life span: 10-14 years"
"https://www.petfinder.com/dog-breeds/English-Cocker-Spaniel","Adopt an English Cocker Spaniel","gundog, spaniel","bird flushing and retrieving","Ht: 16-17, Wt: 28-34","Ht: 15-16, Wt: 26-32","••••","••••","•••••","••••••","••••••","•","•••••","•••••","•••••","•••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/English-Springer-Spaniel","Adopt an English Springer Spaniel","gundog, spaniel","bird flushing and retrieving","Ht: 19-21, Wt: 50","Ht: 18-20, Wt: 40","•••••","•••••","•••••","••••••","••••","•","•••••","••••••","•••••","•••","•••••",
"https://www.petfinder.com/dog-breeds/Doberman-Pinscher","Adopt a Doberman Pinscher","mastiff","guardian","Ht: 26-28, Wt: 65-90","Ht: 24-26, Wt: 65-90","•••••","••••","••••","••••","••","•","••","••••••","••••••","••••••","••",
"https://www.petfinder.com/dog-breeds/English-Foxhound-","Adopt an English Foxhound","Scenthound","trailing fox","Ht: 23-27, Wt: 55-75","Ht: 23-27, Wt: 55-75","•••••","•••••","••••","••••","••••••","•","•••••","•••","•••••","••","••","Life span: 10-13 years"
"https://www.petfinder.com/dog-breeds/English-Toy-Spaniel","Adopt an English Toy Spaniel","spaniel, companion","flushing small birds, lapdog","Ht: 10-11, Wt: 8-14","Ht: 10-11, Wt: 8-14","••","••","••••","•••","•••••","•","•••","••••","•••••","••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Flat-Coated-Retriever","Adopt a Flat-Coated Retriever","gundog, retriever, water dog","water retrieving","Ht: 23-24.5, Wt: 60-70","Ht: 22-23.5, Wt: 60-70","••••","••••","•••••","••••••","••••","•","•••••","••••••","•••••","•••","•••","Life span: 10-14 years"
"https://www.petfinder.com/dog-breeds/French-Bulldog","Adopt a French Bulldog","companion, Mastiff (Bulldog)","lap dog","Ht: 11-13, Wt: <28","Ht: 11-13, Wt: <28","••••","••","••••","••••","••••","•","••","•••","••••","••","••",
"https://www.petfinder.com/dog-breeds/Finnish-Spitz","Adopt a Finnish Spitz","Spitz, Northern (hunting)","hunting birds and small mammals","Ht: 17.5-20, Wt: 31-36","Ht: 15.5-18, Wt: 23-29","••••","••••","••••","••••","••••","•","••","••••","•••••","••••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Giant-Schnauzer","Adopt a Giant Schnauzer","livestock dog, herding","cattle herding, guardian","Ht: 25.5-27.5, Wt: 65-90","Ht: 23.5-25.5, Wt: 65-90","••••","•••••","•••••","••","••","•","••","••••","••••••","••••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/German-Shepherd-Dog","Adopt a German Shepherd Dog","livestock, herding","sheep herding, guarding, police dog","Ht: 24-26, Wt: 75-95","Ht: 22-24, Wt: 75-95","••••","•••••","•••","••••","••","•","•••","••••••","••••••","••••••","•••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/German-Wirehaired-Pointer","Adopt a German Wirehaired Pointer","gundog, pointer, versatile hunting dog","general hunting, watchdog","Ht: 24-26, Wt: 45-75","Ht: >22, Wt: 45-75","••••••","••••••","•••••","••••","•••","•","•••","••••","••••••","•••••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Great-Dane","Adopt a Great Dane","livestock dog, mastiff","guardian, hunting large game","Ht: 30-32, Wt: 100-120","Ht: 28-30, Wt: 100-120","•••","••••","•••","•••••","••••","•","•••••","•••••","•••••","••••","••",
"https://www.petfinder.com/dog-breeds/Gordon-Setter","Adopt a Gordon Setter","gundog, setter, pointer","bird setting and retrieving","Ht: 24-27, Wt: 55-80","Ht: 23-26, Wt: 45-70","•••••","•••••","••••","•••••","•••","•","•••","••••","•••••","••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/German-Shorthaired-Pointer","Adopt a German Shorthaired Pointer","gundog, pointer, versatile hunting dog","general hunting","Ht: 23-25, Wt: 55-70","Ht: 21-23, Wt: 45-60","•••••","••••••","•••••","•••••","••••","•","••••","••••","••••••","••••","••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Golden-Retriever","Adopt a Golden Retriever","gundog, retriever","retrieving","Ht: 23-24, Wt: 65-75","Ht: 21.5-22.5, Wt: 55-65","••••","••••","••••••","••••••","••••••","•","••••••","••••••","••••","•••","••••",
"https://www.petfinder.com/dog-breeds/Great-Pyrenees","Adopt a Great Pyrenees","livestock Dog, flockguard","sheep guardian","Ht: 27-32, Wt: 100","Ht: 25-29, Wt: 85","••","••••","•••","••••","•••","•","•••","••","••••••","•••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Greyhound","Adopt a Greyhound","sighthound, Southern (sighthound)","coursing hares","Ht: 27-30, Wt: 65-70","Ht: 27-30, Wt: 60-65","•••","••••","••••","••••","••••","•","••••","••••","•••••","•••","••","Life span: 10-13 years"
"https://www.petfinder.com/dog-breeds/Greater-Swiss-Mountain-Dog","Adopt a Greater Swiss Mountain Dog","livestock dog, mastiff (draft/cattle)","draft dog, guardian","Ht: 25.5-28.5, Wt: 105-140","Ht: 23.5-27, Wt: 85-110","•••","••••","•••","••••","••••","•","•••","•••••","•••••","••••","••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Harrier","Adopt a Harrier","Scenthound","trailing hares","Ht: 19-21, Wt: 50-60","Ht: 19-21, Wt: 50-60","•••••","•••••","••••","••••","••••••","•","•••","•••","••••••","••","••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Irish-Setter","Adopt an Irish Setter","gundog, setter, pointer","bird setting and retrieving","Ht: 27, Wt: 70","Ht: 25, Wt: 60","••••••","••••••","••••••","••••••","•••••","•","••••••","••••","•••••","••","••••",
"https://www.petfinder.com/dog-breeds/Irish-Water-Spaniel","Adopt an Irish Water Spaniel","gundog, spaniel","water retrieving","Ht: 22-24, Wt: 55-65","Ht: 21-23, Wt: 45-58","••••","••••","••••••","••••","••••","•","•••","••••","•••••","••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Havanese","Adopt a Havanese","bichon, companion, water dog","lapdog, performer","Ht: 8.5-11.5, Wt: 7-13","Ht: 8.5-11.5, Wt: 7-13","•••••","••••","••••••","••••••","•••••","•","••••••","•••••","•••••","••","••••",
"https://www.petfinder.com/dog-breeds/Keeshond","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Komondor","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Ibizan-Hound","Adopt an Ibizan Hound","Sighthound, Southern (pariah), primitive","hunting rabbits","Ht: 23.5-27.5, Wt: 50","Ht: 22.5-26, Wt: 45","••••","••••","••••","•••","•••••","•","••••","•••","•••••","••","••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Irish-Terrier","Adopt an Irish Terrier","terrier","hunting fox, otter, and other vermin","Ht: 18, Wt: 27","Ht: 18, Wt: 25","••••","••••","••••••","•••","••","•","•••","••","••••••","•••••","•••••","Life span: 12-15 years"
"https://www.petfinder.com/dog-breeds/Italian-Greyhound","Adopt an Italian Greyhound","sighthound, Southern (sighthound)","lap dog","Ht: 13-15, Wt: 7-14","Ht: 13-15, Wt: 7-14","•••••","•••","••••","••••••","•••••","•","•••","••••","••••","••","••",
"https://www.petfinder.com/dog-breeds/Irish-Wolfhound","Adopt an Irish Wolfhound","Sighthound, Southern (sighthound)","coursing wolves and elk","Ht: >32, Wt: >120","Ht: >30, Wt: >105","••","••••","••","••••","••••","•","••••","•••","••••","•••","••••","Life span: 5-7 years"
"https://www.petfinder.com/dog-breeds/Jack-Russell-Terrier","Adopt a Jack Russell Terrier","terrier","fox bolting","Ht: 12-14, Wt: 13-17","Ht: 12-14, Wt: 13-17","••••••","•••••","••••••","••••","•••","•","••••","••••","••••••","•••","••","Life span: 13-15 years"
"https://www.petfinder.com/dog-breeds/Japanese-Chin","Adopt a Japanese Chin","companion","lap dog","Ht: 8-11, Wt: 4-7","Ht: 8-11, Wt: 4-7","••••","••","•••••","••••••","•••••","•","••••••","••••","••••••","••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Manchester-Terrier-(Toy)","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Labrador-Retriever","Adopt a Labrador Retriever","gundog, retriever","water retrieving","Ht: 22.5-24.5, Wt: 65-80","Ht: 21.5-23.5, Wt: 55-70","•••••","••••","••••••","••••••","•••••","•","••••••","••••••","•••••","•••","•••",
"https://www.petfinder.com/dog-breeds/Kerry-Blue-Terrier","Adopt a Kerry Blue Terrier","terrier","ratting, badger and fox hunting","Ht: 18-19.5, Wt: 33-40","Ht: 17.5-19, Wt: <33-40","••••","••••","•••••","••••","••","•","••","••","••••••","•••••","••••••","Life span: 12-15 years"
"https://www.petfinder.com/dog-breeds/Kuvasz","Adopt a Kuvasz","livestock dog, sheepdog, flockguard","guardian, hunting large game","Ht: 28-30, Wt: 100-115","Ht: 26-28, Wt: 70-90","••••","•••••","••••","••","••","•","••","••","••••••","••••••","••••","Life span: 9-12 years"
"https://www.petfinder.com/dog-breeds/Lowchen","Adopt a Lowchen","companion, water dog","companion","Ht: 12-14, Wt: 8-18","Ht: 12-14, Wt: 8-18","••••","••","••••","••••","•••••","•","••••","••••","•••••","••","•••••","Life span: 13-15 years"
"https://www.petfinder.com/dog-breeds/Lakeland-Terrier","Adopt a Lakeland Terrier","terrier","vermin hunting","Ht: 14.5, Wt: 17","Ht: 13.5, Wt: 17","•••••","••••","••••••","••••","••","•","••","••","••••••","••","•••••","Life span: 12-16 years"
"https://www.petfinder.com/dog-breeds/Lhasa-Apso","Adopt a Lhasa Apso","companion, herding","companion, watchdog","Ht: 10-11, Wt: 13-15","Ht: 10-11, Wt: 13-15","••••","••","••••","••••","••••","•","••","••","••••••","••","•••••",
"https://www.petfinder.com/dog-breeds/Maltese","Adopt a Maltese","bichon, companion, terrier, water dog","lap dog","Ht: 9-10, Wt: 4-7","Ht: 9-10, Wt: 4-7","•••••","••","•••••","••••","••••","•","••","••••","••••••","••","••••",
"https://www.petfinder.com/dog-breeds/Manchester-Terrier-(Standard)","Adopt a Manchester Terrier (Standard)","terrier","ratting, rabbit hunting","Ht: 15-16, Wt: 12-22","Ht: 15-16, Wt: 12-22","•••••","••••","•••••","••••","••••","•","••","•••","••••••","••","••","Life span: 15-16 years"
"https://www.petfinder.com/dog-breeds/Miniature-Bull-Terrier","Adopt a Miniature Bull Terrier","terrier, mastiff (bull)","ratting, dog fighting","Ht: 10-14, Wt: 25-33","Ht: 10-14, Wt: 25-33","•••••","••••","••••••","•••","•••","•","••••","••","••••••","••••","••","Life span: 11-14 years"
"https://www.petfinder.com/dog-breeds/Mastiff","Adopt a Mastiff","livestock dog, sheepdog, mastiff","guardian","Ht: 30, Wt: 175-190","Ht: 27.5, Wt: 175-190","••","•••","••","•••••","••••","•","•••","••••","••••••","•••••","••","Life span: 8-10 years"
"https://www.petfinder.com/dog-breeds/Miniature-Schnauzer","Adopt a Miniature Schnauzer","terrier","ratting","Ht: 12-14, Wt: 13-15","Ht: 12-14, Wt: 13-15","••••","••••","•••••","•••••","••••","•","••••","••••","••••••","••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Miniature-Pinscher","Adopt a Miniature Pinscher","terrier, pinscher","small-vermin hunting","Ht: 10-12.5, Wt: 8-10","Ht: 10-12.5, Wt: 8-10","••••••","•••","••••••","•••","•••","•","••","••","••••••","••","••",
"https://www.petfinder.com/dog-breeds/Newfoundland","Adopt a Newfoundland","livestock dog, sheepdog, mastiff","all-purpose water dog and fishing aid, draft","Ht: 28, Wt: 130-150","Ht: 26, Wt: 100-120","•••","•••","••••","••••••","•••••","•","••••••","••••","••••","•••••","••••",
"https://www.petfinder.com/dog-breeds/Norwegian-Elkhound","Adopt a Norwegian Elkhound","Spitz, Northern (hunting)","hunting elk (moose)","Ht: 20.5, Wt: 55","Ht: 19.5, Wt: 48","•••••","••••","•••••","••••","•••","•","••••","••","••••••","•••••","••••","Life span: 10-12 years"
